Name,Description,Rating,Reviews,Images Links
Ujjwal Neupane,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",3,14,/images/test-sites/e-commerce/items/cart2.png
Prestigio Smar...,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",2,8,/images/test-sites/e-commerce/items/cart2.png
Prestigio Smar...,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",4,12,/images/test-sites/e-commerce/items/cart2.png
Aspire E1-510,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",3,2,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",3,5,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",2,6,/images/test-sites/e-commerce/items/cart2.png
Hewlett Packar...,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",1,12,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2,2,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire A3...,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",2,0,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",4,9,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",4,10,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",3,9,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",1,4,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4,3,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",1,12,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",4,10,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",3,9,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",4,14,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4,4,/images/test-sites/e-commerce/items/cart2.png
Packard 255 G2,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2,2,/images/test-sites/e-commerce/items/cart2.png
Asus EeeBook R...,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",1,1,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",1,1,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",1,2,/images/test-sites/e-commerce/items/cart2.png
Acer Extensa 1...,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",4,6,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",1,9,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",2,2,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire A3...,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",3,9,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",1,7,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",3,1,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",3,5,/images/test-sites/e-commerce/items/cart2.png
Lenovo V510 Bl...,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",3,8,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",3,6,/images/test-sites/e-commerce/items/cart2.png
Lenovo V510 Bl...,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",2,9,/images/test-sites/e-commerce/items/cart2.png
Acer Swift 1 S...,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",3,4,/images/test-sites/e-commerce/items/cart2.png
